paper_id,openalex_id,title,publication_year,journal,pdf_url,local_target
60,W3045997188,Discriminative Accuracy of Plasma Phospho-tau217 for Alzheimer Disease vs Other Neurodegenerative Disorders,2020,JAMA,https://jamanetwork.com/journals/jama/articlepdf/2768841/jama_palmqvist_2020_oi_200077_1597950344.77871.pdf,data/pdfs/W3045997188.pdf
811,W2943828894,Limbic-predominant age-related TDP-43 encephalopathy (LATE): consensus working group report,2019,Brain,https://academic.oup.com/brain/article-pdf/142/6/1503/28706531/awz099.pdf,data/pdfs/W2943828894.pdf
138,W2787612390,Trial of Solanezumab for Mild Dementia Due to Alzheimer’s Disease,2018,New England Journal of Medicine,https://www.nejm.org/doi/pdf/10.1056/NEJMoa1705971?articleTools=true,data/pdfs/W2787612390.pdf
150,W4205941964,"RETRACTED ARTICLE: Artificial intelligence in disease diagnosis: a systematic literature review, synthesizing framework and future research agenda",2022,Journal of Ambient Intelligence and Humanized Computing,https://link.springer.com/content/pdf/10.1007/s12652-021-03612-z.pdf,data/pdfs/W4205941964.pdf
73,W2938221890,Association Between Longitudinal Plasma Neurofilament Light and Neurodegeneration in Patients With Alzheimer Disease,2019,JAMA Neurology,https://jamanetwork.com/journals/jamaneurology/articlepdf/2731440/jamaneurology_mattsson_2019_oi_190019.pdf,data/pdfs/W2938221890.pdf
162,W3127597934,Multimodal deep learning models for early detection of Alzheimer’s disease stage,2021,Scientific Reports,https://www.nature.com/articles/s41598-020-74399-w.pdf,data/pdfs/W3127597934.pdf
120,W2898320157,Clinical Significance of Magnetic Resonance Imaging Markers of Vascular Brain Injury,2018,JAMA Neurology,https://jamanetwork.com/journals/jamaneurology/articlepdf/2709105/jamaneurology_debette_2018_oi_180070.pdf,data/pdfs/W2898320157.pdf
249,W2964629181,Deep Learning in Alzheimer's Disease: Diagnostic Classification and Prognostic Prediction Using Neuroimaging Data,2019,Frontiers in Aging Neuroscience,https://www.frontiersin.org/articles/10.3389/fnagi.2019.00220/pdf,data/pdfs/W2964629181.pdf
247,W3033878890,FastSurfer - A fast and accurate deep learning based neuroimaging pipeline,2020,NeuroImage,https://www.sciencedirect.com/science/article/am/pii/S1053811920304985?via%3Dihub,data/pdfs/W3033878890.pdf
143,W4285384968,"The Boston criteria version 2.0 for cerebral amyloid angiopathy: a multicentre, retrospective, MRI–neuropathology diagnostic accuracy study",2022,The Lancet Neurology,http://www.thelancet.com/article/S1474442222002083/pdf,data/pdfs/W4285384968.pdf
611,W2787666045,Spatial patterns of neuroimaging biomarker change in individuals from families with autosomal dominant Alzheimer's disease: a longitudinal study,2018,The Lancet Neurology,https://unsworks.unsw.edu.au/bitstreams/9a3b57d7-40ae-4ec0-a924-b6f584308ea1/download,data/pdfs/W2787666045.pdf
160,W2912556930,The Alzheimer’s Disease Clinical Spectrum,2019,Medical Clinics of North America,https://www.sciencedirect.com/science/article/pii/S0025712518301317/pdf,data/pdfs/W2912556930.pdf
